Id,Question,implicit_intermediate_question,implicit_answer_type,gpt_intermediate_question,gpt_answer_type,difference_type
5110,Who was the Sèvres government mayor during Grégoire de la Roncière's time as mayor?,When Grégoire de la Roncière was mayor of Sèvres,time interval,When Grégoire de la Roncière was mayor of Sèvres government,time interval,intermediate_question_different
5111,"Which hall of fame did Robin Miller (journalist) become an inductee to, when he received the Robin Miller Awards and Motorsports of America's National Sprint Car award?",When Robin Miller received the Robin Miller Awards and Motorsports of America's National Sprint Car award,date,When Robin Miller (journalist) received the Robin Miller Awards and Motorsports of America's National Sprint Car Award,date,intermediate_question_different
5112,"In what season did Juan Ramón Ocampo's team, Cruz Azul, finish in second place on the general table?","When Juan Ramón Ocampo's team, Cruz Azul, finished in second place on the general table",date,When Cruz Azul finished in second place on the general table,time interval,intermediate_question_and_answer_type_different
5116,What award did Håkon Brusveen win during his time at the Olympics?,When Håkon Brusveen was at the Olympics,time interval,When Håkon Brusveen competed at the Olympics,time interval,intermediate_question_different
5119,Who succeeded Yegor Stroyev as the chairperson of the Federation Council?,When Yegor Stroyev was the chairperson of the Federation Council,time interval,When Yegor Stroyev ceased to be the chairperson of the Federation Council,date,intermediate_question_and_answer_type_different
5120,"In what country was the Minsk agreement signed between Russia and Belarus, authorizing the placement of Russian tactical nuclear weapons on Belarusian territory?",When the Minsk agreement was signed between Russia and Belarus,date,When Minsk agreement was signed between Russia and Belarus,date,intermediate_question_different
5121,What football club did Fighton Simukonda manage during his managerial career as a Zambian coach and former footballer?,When Fighton Simukonda's managerial career as a Zambian coach and former footballer occurred,time interval,When Fighton Simukonda managed a football club during his managerial career as a Zambian coach and former footballer,time interval,intermediate_question_different
5123,Which campaign medal did Simon receive when he lifted the crew's morale during the long negotiations with the Communists?,When Simon lifted the crew's morale during the long negotiations with the Communists,date,When Simon lifted the crew's morale during the long negotiations with the Communists,time interval,answer_type_different
5126,Who was the chairperson of the Liberal Democratic Party before Fumio Kishida?,When Fumio Kishida became the chairperson of the Liberal Democratic Party,date,When Fumio Kishida became chairperson of the Liberal Democratic Party,date,intermediate_question_different
5127,Who was the Prime Minister of Azerbaijan before Ali Asadov?,When Ali Asadov became the Prime Minister of Azerbaijan,date,When Ali Asadov became Prime Minister of Azerbaijan,date,intermediate_question_different
5128,Who was David Soul's spouse before his first marriage?,When David Soul's first marriage occurred,date,When David Soul had his first marriage,date,intermediate_question_different
5129,"During Dennis Johnson's term as coach, what basketball team was he working with when he died in Austin, Texas at the age of 52?",When Dennis Johnson's term as coach occurred,time interval,"When Dennis Johnson died in Austin, Texas at the age of 52",date,intermediate_question_and_answer_type_different
5132,"During the European Championships in Stuttgart, what was Yvonne Murray's distance in the European Athletics Indoor Championships in Madrid?",When the European Championships in Stuttgart occurred,time interval,When Yvonne Murray competed in the European Athletics Indoor Championships in Madrid,time interval,intermediate_question_different
5133,"During Alfredo Cristiani's 37th presidency of El Salvador, what percentage of the vote did he receive in the presidential election?",When Alfredo Cristiani's 37th presidency of El Salvador occurred,time interval,When Alfredo Cristiani's 37th presidency of El Salvador began,date,intermediate_question_and_answer_type_different
5134,What was the dissolved municipality of Japan that Fuji replaced during the time of the Fuji?,When Fuji replaced the dissolved municipality of Japan,date,When the dissolved municipality of Japan Fuji replaced was,date,intermediate_question_different
5138,What rugby union team did Dan Vickerman play for before he came back to Australia and joined the Wallabies?,When Dan Vickerman came back to Australia and joined the Wallabies,time interval,When Dan Vickerman joined the Wallabies,time interval,intermediate_question_different
5142,"At the European Athletics Indoor Championships Dortmund, what event did Nadezhda Chizhova win two years prior to her European junior title victory?",When Nadezhda Chizhova won her European junior title,date,When Nadezhda Chizhova won her European junior title victory,time interval,intermediate_question_and_answer_type_different
5145,"During Anne Rice's time writing as Anne Rampling and A N Roquelaure, which of her works was adapted into a movie called Interview with the Vampire?",When Anne Rice was writing as Anne Rampling and A N Roquelaure,time interval,When Anne Rice wrote as Anne Rampling and A N Roquelaure,time interval,intermediate_question_different
5146,What football team did Jan Mølby begin to play for internationally after his 0 goals in 7 U-21 appearances?,When Jan Mølby's 0 goals in 7 U-21 appearances occurred,time interval,When Jan Mølby began to play for internationally after his 0 goals in 7 U-21 appearances,time interval,intermediate_question_different
5147,Where did Catriona Le May Doan set the World Championships Sprint record that improved to 37 22 s over the next four years?,When Catriona Le May Doan set the World Championships Sprint record,date,When Catriona Le May Doan set the World Championships Sprint record that improved to 37 22 s over the next four years,date,intermediate_question_different
5148,"After Jim Bailey (American singer and actor) was born in Philadelphia, Pennsylvania, what occupation did he take up?",When Jim Bailey (American singer and actor) was born,date,"When Jim Bailey (American singer and actor) was born in Philadelphia, Pennsylvania",date,intermediate_question_different
5149,What company did Blackstone take public with an IPO during the time Cendant bought the franchise out of bankruptcy for $290 million?,When Cendant bought the franchise out of bankruptcy for $290 million,time interval,When Cendant bought the franchise out of bankruptcy for $290 million,date,answer_type_different
5150,"Before the Battle of Kambula in the Anglo-Zulu War, in which battle did British forces suffer a defeat?",When the Battle of Kambula occurred,date,When the Battle of Kambula occurred in the Anglo-Zulu War,date,intermediate_question_different
5151,What was the home venue of the Los Angeles Chargers when they played in the National Football League?,When the Los Angeles Chargers played in the National Football League,time interval,When Los Angeles Chargers played in the National Football League,time interval,intermediate_question_different
5152,Who was the head of government in Alicante before Ángel Luna González?,When Ángel Luna González was head of government in Alicante,time interval,When Ángel Luna González became the head of government in Alicante,date,intermediate_question_and_answer_type_different
5154,Who owned the RV Belgica before it was sold and converted to a passenger and cargo ship named Isfjord?,When the RV Belgica was sold and converted to a passenger and cargo ship named Isfjord,date,When the RV Belgica was sold and converted to a passenger and cargo ship named Isfjord,time interval,answer_type_different
5158,"After the Aisin Seahorses, which team did Trevor Wilson (basketball) join next in his career?",When Trevor Wilson (basketball) played for the Aisin Seahorses,time interval,When Trevor Wilson (basketball) joined Aisin Seahorses,time interval,intermediate_question_different
5160,"During her time as Minister of Ecological and Inclusive Transition, which political party was C3 % 89lisabeth Borne associated with?",When Élisabeth Borne was Minister of Ecological and Inclusive Transition,time interval,When C3 % 89lisabeth Borne was Minister of Ecological and Inclusive Transition,time interval,intermediate_question_different
5161,"During Rhys Webb's senior career, for which rugby union team did he make his professional debut as a substitute for Shane Williams?",When Rhys Webb made his professional debut as a substitute for Shane Williams,date,When Rhys Webb made his professional debut as a substitute for Shane Williams,time interval,answer_type_different
5163,What type of ships were used by the Peruvian Navy during the War of Independence when it was established by the government of General José de San Martín?,When the Peruvian Navy was established by the government of General José de San Martín,date,When the Peruvian Navy was established by the government of General José de San Martín,time interval,answer_type_different
5164,What was the parent company of the Marconi Wireless Telegraph Company of America (commonly called American Marconi) at the time of its incorporation?,When the Marconi Wireless Telegraph Company of America was incorporated,date,When Marconi Wireless Telegraph Company of America (American Marconi) was incorporated,date,intermediate_question_different
5165,Who was the rector of the University of Tartu before Heinrich Riikoja?,When Heinrich Riikoja was rector of the University of Tartu,time interval,When Heinrich Riikoja became the rector of the University of Tartu,date,intermediate_question_and_answer_type_different
5168,"During the Nazi occupation, which oblast was Zhytomyr located in Ukraine?",When Zhytomyr was located in Ukraine during the Nazi occupation,time interval,When Nazi occupation of Ukraine,date,intermediate_question_and_answer_type_different
5170,What award did Beyoncé receive while releasing her sixth studio album Lemonade?,When Beyoncé released her sixth studio album Lemonade,date,When Beyoncé released her sixth studio album Lemonade,time interval,answer_type_different
5171,Who was the editor of the journal Ibis at the time of its establishment?,When the journal Ibis was established,date,When was Ibis established,date,intermediate_question_different
5172,"At which tournament did Matt Kuchar come closest to winning, when he finished runner-up at the Open Championship?",When Matt Kuchar finished runner-up at the Open Championship,date,When Matt Kuchar finished runner-up at the Open Championship,time interval,answer_type_different
5174,"During the XXII Olympic Winter Games in Sochi, Russia, which sport did Martin Fourcade dominate the most as a male athlete?","When the XXII Olympic Winter Games were held in Sochi, Russia",time interval,"When Martin Fourcade dominated the most as a male athlete during the XXII Olympic Winter Games in Sochi, Russia",time interval,intermediate_question_different
5175,Who succeeded Gary Herbert as head of government of Utah?,When Gary Herbert was head of government of Utah,time interval,When Gary Herbert left the position of head of government of Utah,date,intermediate_question_and_answer_type_different
5176,"During Freddy Rincón's managerial career, which youth football club did he manage?",When Freddy Rincón's managerial career occurred,time interval,When Freddy Rincón started managing a youth football club,time interval,intermediate_question_different
5177,"During the Silver Age of Comic Books, which period preceded the implementation of the Comics Code Authority by comic book publishers?",When the Silver Age of Comic Books occurred,time interval,When the Comics Code Authority was implemented by comic book publishers,date,intermediate_question_and_answer_type_different
5180,Who succeeded Davide Nicola as head coach of Genoa CFC?,When Davide Nicola was head coach of Genoa CFC,time interval,When Davide Nicola left as head coach of Genoa CFC,time interval,intermediate_question_different
5182,Who was named head coach of the Memphis Tigers men's basketball team after Paul Mann?,When Paul Mann was head coach of the Memphis Tigers men's basketball team,time interval,When Paul Mann was named head coach of the Memphis Tigers men's basketball team,date,intermediate_question_and_answer_type_different
5183,What club did Luigi Delneri manage before being appointed at Roma?,When Luigi Delneri was appointed at Roma,date,When Luigi Delneri was appointed at Roma,time interval,answer_type_different
5185,Who was the director or manager of the Solomon R. Guggenheim Museum prior to its renaming three years after Solomon R. Guggenheim's death?,When the Solomon R. Guggenheim Museum was renamed three years after Solomon R. Guggenheim's death,date,When Solomon R. Guggenheim passed away,date,intermediate_question_different
5186,What was the basketball team Juwan Howard coached before taking up the position at Michigan?,When Juwan Howard took up the position at Michigan,date,When Juwan Howard took up the position at Michigan,time interval,answer_type_different
5191,"When Butch Trucks joined the Allman Brothers Band, which record label did Duane Allman have a deal with?",When Butch Trucks joined the Allman Brothers Band,time interval,When Butch Trucks joined the Allman Brothers Band,date,answer_type_different
5192,What club did Taiberson have a youth career in prior to Juventude?,When Taiberson had a youth career in Juventude,time interval,When Taiberson had a youth career in Juventude?,date,intermediate_question_and_answer_type_different
5193,Who was the chairperson of Hosei University when it achieved its highest ranking of second most popular university among Japanese high school students?,When Hosei University achieved its highest ranking of second most popular university among Japanese high school students,date,When Hosei University achieved its highest ranking of second most popular university among Japanese high school students,time interval,answer_type_different
5196,"During the Linate Airport disaster, which Italian province was Milan the capital of?",When the Linate Airport disaster occurred,date,When the Linate Airport disaster occurred,time interval,answer_type_different
5197,"During John Stanley 18th Earl of Derby's brief tenure in the House of Lords, to what hereditary peerage did he belong?",When John Stanley 18th Earl of Derby had a brief tenure in the House of Lords,time interval,When John Stanley 18th Earl of Derby held the hereditary peerage in the House of Lords,time interval,intermediate_question_different
5198,What position did Alexandru Vaida-Voevod hold after his presidency of the Assembly of Deputies?,When Alexandru Vaida-Voevod held the presidency of the Assembly of Deputies,time interval,When Alexandru Vaida-Voevod's presidency of the Assembly of Deputies ended,time interval,intermediate_question_different
5199,What basketball team did Mike Krzyzewski become the head coach for after his assistant coaching stint with Indiana?,When Mike Krzyzewski had an assistant coaching stint with Indiana,time interval,When Mike Krzyzewski became the head coach for a basketball team after his assistant coaching stint with Indiana,date,intermediate_question_and_answer_type_different
5200,"Who did Nickel Mines Pennsylvania sell the mine to in late, when up to twenty-five percent of the world's nickel was extracted there?",When up to twenty-five percent of the world's nickel was extracted at Nickel Mines Pennsylvania,time interval,When Nickel Mines Pennsylvania sold the mine to,date,intermediate_question_and_answer_type_different
5202,"During the time of Frank Sinatra Jr's kidnapping at Harrah's Lake Tahoe, who was he professionally known as?",When Frank Sinatra Jr's kidnapping at Harrah's Lake Tahoe occurred,date,When Frank Sinatra Jr was professionally known during his kidnapping at Harrah's Lake Tahoe,time interval,intermediate_question_and_answer_type_different
5203,"Who was the curator of the Palais des Beaux-Arts de Lille when the ""musée Wicar"" was merged into it?","When the ""musée Wicar"" was merged into the Palais des Beaux-Arts de Lille",date,"When the ""musée Wicar"" was merged into the Palais des Beaux-Arts de Lille",time interval,answer_type_different
5204,Who was the chairperson of the Cour de Justice de la République before Henri-Claude Le Gall?,When Henri-Claude Le Gall was chairperson of the Cour de Justice de la République,time interval,When Henri-Claude Le Gall became the chairperson of the Cour de Justice de la République,date,intermediate_question_and_answer_type_different
5206,What season was Leandro Silva a member of Santos F.C. when the club was successful?,When Santos F.C. was successful,time interval,When Leandro Silva was a member of Santos F.C.,time interval,intermediate_question_different
5207,What replaced the dissolved municipality of Toyokawa Aichi Toyokawa City during settlement in Japan?,When the municipality of Toyokawa Aichi Toyokawa City was dissolved during settlement in Japan,date,When Toyokawa Aichi Toyokawa City dissolved,date,intermediate_question_different
5208,What competition did Meryl Davis and Charlie White win when they became the first ice dancing team to earn level fours on all their elements at the NHK Trophy?,When Meryl Davis and Charlie White became the first ice dancing team to earn level fours on all their elements at the NHK Trophy,date,When Meryl Davis and Charlie White won the NHK Trophy,date,intermediate_question_different
5210,Who was the commander of the German submarine U-124 after its commissioning by Nazi Germany?,When German submarine U-124 was commissioned by Nazi Germany,date,When the German submarine U-124 was commissioned by Nazi Germany,date,intermediate_question_different
5211,What did Kawasaki replace as a municipality in Japan when Mukaoka dissolved?,When Mukaoka dissolved as a municipality in Japan,date,When Mukaoka dissolved,date,intermediate_question_different
5212,"During Gopinath Munde's time as Leader of Opposition Maharashtra Legislative Assembly, what position did he hold?",When Gopinath Munde was Leader of Opposition in Maharashtra Legislative Assembly,time interval,When Gopinath Munde was Leader of Opposition Maharashtra Legislative Assembly,time interval,intermediate_question_different
5213,"During the filming of the version of Supermarket Sweep at the Barker Hangar at Santa Monica Airport, which company manufactured the board game based on it?",When the version of Supermarket Sweep was filmed at the Barker Hangar at Santa Monica Airport,time interval,When the version of Supermarket Sweep at the Barker Hangar at Santa Monica Airport was filmed,date,intermediate_question_and_answer_type_different
5214,Who was the first foreign minister of East Germany arrested for spying during the German Democratic Republic (Deutsche Democratische Republik)?,When the German Democratic Republic (Deutsche Demokratische Republik) existed,time interval,When the first foreign minister of East Germany was arrested for spying during the German Democratic Republic,date,intermediate_question_and_answer_type_different
5215,"Who was the mayor of Portland, Oregon when the urban legend game Polybius supposedly released?",When the urban legend game Polybius supposedly released,date,"When the urban legend game Polybius supposedly released in Portland, Oregon",date,intermediate_question_different
5217,"At the European Athletics Championships in Gothenburg, what event did Naman Keïta compete in during the Golden League Gaz de France?",When the European Athletics Championships were held in Gothenburg,date,When Naman Keïta competed in the Golden League Gaz de France at the European Athletics Championships in Gothenburg,time interval,intermediate_question_and_answer_type_different
5219,Who was on board the Space Shuttle Challenger during its first flight on April 4–9 and during the STS-7 mission?,When the Space Shuttle Challenger's first flight occurred,date,When Space Shuttle Challenger had its first flight and during the STS-7 mission,time interval,intermediate_question_and_answer_type_different
5220,"When Goa was admitted to the union, what began the four and a half centuries of colonial rule in Goa?",When Goa was admitted to the union,date,When Goa was admitted to the Union,date,intermediate_question_different
5224,What Academy Award did Barbra Streisand win while performing her cover of Stout-Hearted Men?,When Barbra Streisand performed her cover of Stout-Hearted Men,date,When Barbra Streisand won an Academy Award for her cover of Stout-Hearted Men,date,intermediate_question_different
5226,"When Jude Bellingham was playing for Birmingham City, which under-16 national football team did he make his international debut with?",When Jude Bellingham was playing for Birmingham City,time interval,When Jude Bellingham made his international football debut,date,intermediate_question_and_answer_type_different
5228,At which film festival did Ray Harryhausen receive a Lifetime Achievement Award from the Science Fiction and Fantasy Hall of Fame?,When Ray Harryhausen received a Lifetime Achievement Award from the Science Fiction and Fantasy Hall of Fame,date,When Ray Harryhausen receive a Lifetime Achievement Award from the Science Fiction and Fantasy Hall of Fame,date,intermediate_question_different
5229,"During the Reichstag election in Germany, what was the other name for the German National People's Party (Deutschnationale Volkspartei) when it was founded and dissolved?",When the German National People's Party (Deutschnationale Volkspartei) was founded and dissolved,time interval,When German National People's Party (Deutschnationale Volkspartei) was founded and dissolved,time interval,intermediate_question_different
5232,What encyclopedia featured Buchenwald concentration camp when it was liberated by the United States Army and Dwight D. Eisenhower visited one of its subcamps?,When Buchenwald concentration camp was liberated by the United States Army,date,When Buchenwald concentration camp was liberated by the United States Army and Dwight D. Eisenhower visited one of its subcamps,date,intermediate_question_different
5237,After which oblast was Zlatoust located in the administrative territorial entity of Russia?,When Zlatoust was located in the administrative territorial entity of Russia,time interval,When Zlatoust located in the administrative territorial entity of Russia,date,intermediate_question_and_answer_type_different
5241,"After holding the office of Lieutenant Governor of New York, who was elected the 40th Governor of New York?",When the office of Lieutenant Governor of New York was held,time interval,When Lieutenant Governor of New York held office,time interval,intermediate_question_different
5243,"Who was Charles Dickens' partner when he died in Higham, Kent, England at the age of 58?","When Charles Dickens died in Higham, Kent, England",date,"When Charles Dickens died in Higham, Kent, England at the age of 58",date,intermediate_question_different
5244,"At the beginning of the impeachment hearings against U.S. President Donald Trump, what was Fiona Hill's role as a witness in the House hearings?",When the impeachment hearings against U.S. President Donald Trump began,date,When the impeachment hearings against U.S. President Donald Trump began,time interval,answer_type_different
5247,What team did Helmut Haller join after his Senior career with FC Augsburg?,When Helmut Haller's Senior career with FC Augsburg was,time interval,When Helmut Haller's Senior career with FC Augsburg ended,time interval,intermediate_question_different
5248,What club did Cristian Tudor go on loan to before establishing his senior career with Sheriff Tiraspol?,When Cristian Tudor established his senior career with Sheriff Tiraspol,time interval,When Cristian Tudor established his senior career with Sheriff Tiraspol,date,answer_type_different
5249,What association football club did Dieter Hecking join after his senior career at Waldhof Mannheim?,When Dieter Hecking's senior career at Waldhof Mannheim was,time interval,When Dieter Hecking's senior career at Waldhof Mannheim ended,time interval,intermediate_question_different
5251,"During Jiří Rusnok's term as Prime Minister of the Czech Republic, what legislative elections did Bohuslav Sobotka lead his party in for the Chamber of Deputies of the Czech parliament?",When Jiří Rusnok's term as Prime Minister of the Czech Republic was,time interval,When Jiří Rusnok was Prime Minister of the Czech Republic,time interval,intermediate_question_different
5253,In which Washington county was the Port of Seattle formed as outlined in the Port District Act and approved by voters?,When the Port of Seattle was formed,date,When the Port of Seattle was formed as outlined in the Port District Act and approved by voters,date,intermediate_question_different
5256,"What team did Robert DeShaun ""Tractor"" Traylor play for during his professional basketball career?","When Robert DeShaun ""Tractor"" Traylor's professional basketball career was",time interval,"When Robert DeShaun ""Tractor"" Traylor played during his professional basketball career",time interval,intermediate_question_different
5258,Who succeeded Muesee Kazapua as the head of government in Windhoek?,When Muesee Kazapua was the head of government in Windhoek,time interval,When Muesee Kazapua ceased to be the head of government in Windhoek,date,intermediate_question_and_answer_type_different
5259,"Prior to the autonomy of the Principality of Serbia, who was the Sanjak of Smederevo?",When the autonomy of the Principality of Serbia began,date,When the Principality of Serbia obtained its autonomy,date,intermediate_question_different
5260,What award did A B Yehoshua receive when his voice was recorded?,When A B Yehoshua's voice was recorded,date,When A B Yehoshua's voice was recorded,time interval,answer_type_different
5261,"After the expectations set by the Uganda Ministry of Energy and Mineral Development, what was the first photovoltaic power station commissioned in Uganda with a generating capacity of 20 megawatts?",When the expectations set by the Uganda Ministry of Energy and Mineral Development were,time interval,When the first photovoltaic power station in Uganda with a generating capacity of 20 megawatts was commissioned,time interval,intermediate_question_different
5262,"During her marriage to David Barbour, what position did Mary Barbour hold?",When Mary Barbour's marriage to David Barbour was,time interval,When Mary Barbour married David Barbour,time interval,intermediate_question_different
5263,What football club was Danijel Premerl part of while playing for the Yugoslavia national association football team?,When Danijel Premerl played for the Yugoslavia national association football team,time interval,When Danijel Premerl played for Yugoslavia national association football team,time interval,intermediate_question_different
5264,"During Aravinda de Silva's successful season playing first-class cricket for the English county Kent, which domestic cricket team did he represent?",When Aravinda de Silva played first-class cricket for the English county Kent,time interval,When Aravinda de Silva was playing first-class cricket for the English county Kent,time interval,intermediate_question_different
5267,"After leading the Choir of King's College Cambridge in its frequent broadcasts and recordings, what position did David Willcocks go on to hold?",When David Willcocks led the Choir of King's College Cambridge in its frequent broadcasts and recordings,time interval,When David Willcocks lead the Choir of King's College Cambridge in its frequent broadcasts and recordings,time interval,intermediate_question_different
5268,What baseball team was Tommy Tucker a part of when he had a 6-for-6 game?,When Tommy Tucker had a 6-for-6 game,date,When Tommy Tucker had a 6-for-6 game,time interval,answer_type_different
5269,In which Bundestag election did Helmut Kohl become a Member of the Bundestag for Rhineland-Palatinate while he chaired the G7?,When Helmut Kohl chaired the G7,time interval,When Helmut Kohl became a Member of the Bundestag for Rhineland-Palatinate while he chaired the G7,date,intermediate_question_and_answer_type_different
5270,What rock band did Greg Lake join after their debut album In the Court of the Crimson King became a commercial success?,When the debut album In the Court of the Crimson King became a commercial success,date,When In the Court of the Crimson King became a commercial success,time interval,intermediate_question_and_answer_type_different
5271,"During the time that Jan Šrámek was in the Provisional Government of Czechoslovakia, what was the Czechoslovak government-in-exile?",When Jan Šrámek was in the Provisional Government of Czechoslovakia,time interval,When Jan Šrámek was in the Provisional Government of Czechoslovakia,date,answer_type_different
5272,"During the Cyprus Emergency, which Royal Air Force station was the headquarters for No. 39 Squadron RAF, which employed all-weather interception?",When was the Cyprus Emergency,time interval,When No. 39 Squadron RAF employed all-weather interception during the Cyprus Emergency,time interval,intermediate_question_different
5273,What awards did Bobby Jones receive when he turned professional in his golf career?,When did Bobby Jones turn professional in his golf career,date,When Bobby Jones turned professional in his golf career,time interval,intermediate_question_and_answer_type_different
5274,"When the Immigration New Zealand Agency was formed, what public office was established in response to the demand for more workers in the manufacturing sector?",When was the Immigration New Zealand Agency formed,date,When the Immigration New Zealand Agency was formed,date,intermediate_question_different
5275,In which sports league was Takayuki Takaguchi a member of when he was playing for the Yomiuri Giants?,When was Takayuki Takaguchi playing for the Yomiuri Giants,time interval,When Takayuki Takaguchi was playing for the Yomiuri Giants,time interval,intermediate_question_different
5276,Who was the chairperson of the True Finns when the party achieved second place in the parliamentary election with 17.7% of the votes?,When did the True Finns achieve second place in the parliamentary election with 17.7% of the votes,date,When True Finns achieved second place in the parliamentary election with 17.7% of votes,time interval,intermediate_question_and_answer_type_different
5277,What football team did John Heisman coach when he coached baseball at the Buchtel?,When did John Heisman coach baseball at the Buchtel,time interval,When John Heisman coached baseball at the Buchtel,time interval,intermediate_question_different
5278,What football club did Slavko Dacevski play for when he made his international debut for Yugoslavia B?,When did Slavko Dacevski make his international debut for Yugoslavia B,date,When Slavko Dacevski made his international debut for Yugoslavia B,time interval,intermediate_question_and_answer_type_different
5279,Who was the mayor of Tourcoing while it was the capital of the canton of Tourcoing-Nord?,When was Tourcoing the capital of the canton of Tourcoing-Nord,time interval,When Tourcoing was the capital of the canton of Tourcoing-Nord,time interval,intermediate_question_different
5280,"After playing in the Metropolitan Basketball Association, which team did Rommel Adducul join?",When did Rommel Adducul play in the Metropolitan Basketball Association,time interval,When Rommel Adducul played in the Metropolitan Basketball Association,time interval,intermediate_question_different
5281,What was the administrative territorial entity that Cuttack District was located in before being part of Orissa Province in British India?,When did Cuttack District become part of Orissa Province in British India,date,When Cuttack District became part of Orissa Province in British India,date,intermediate_question_different
5283,What position did Yacouba Isaac Zida hold before Michel Kafando was appointed as the transitional head of state?,When was Michel Kafando appointed as the transitional head of state,date,When Michel Kafando was appointed as the transitional head of state,date,intermediate_question_different
5284,Who was the mayor of Jerusalem when a Palestinian suicide bomber attacked a bus and killed 18 people?,When did a Palestinian suicide bomber attack a bus and kill 18 people in Jerusalem,date,When the Palestinian suicide bomber attacked a bus and killed 18 people in Jerusalem,date,intermediate_question_different
5285,"After the Brighton associated electoral district object had the role of electoral district of South Australia, which associated electoral district of South Australia was it linked to?",When did the Brighton associated electoral district object have the role of electoral district of South Australia,time interval,When the Brighton associated electoral district object had the role of electoral district of South Australia,time interval,intermediate_question_different
5286,"During the North Vietnam Democratic Republic of Vietnam Việt Nam Dân chủ Cộng hòa era, what was the geographic area of 331,212 km2 (127,882 sq mi)?",When was the North Vietnam Democratic Republic of Vietnam Việt Nam Dân chủ Cộng hòa era,time interval,When the North Vietnam Democratic Republic of Vietnam Viet Nam Dan chu Cong hoa era began,date,intermediate_question_and_answer_type_different
5287,"After Vivendi partially spun off Universal Music Group, which subsidiary did the company acquire?",When did Vivendi partially spin off Universal Music Group,date,When Vivendi partially spun off Universal Music Group,date,intermediate_question_different
5288,"During Xavi Simons' youth career, which football club did he play for?",When was Xavi Simons' youth career,time interval,When Xavi Simons' youth career started,time interval,intermediate_question_different
5289,"Before José P. Laurel was Majority leader of the Senate of the Philippines, what was Benigno Aquino Sr's position held in the Philippine House of Representatives from Tarlac's 2nd district?",When was José P. Laurel Majority leader of the Senate of the Philippines,time interval,When Benigno Aquino Sr held position in the Philippine House of Representatives from Tarlac's 2nd district,time interval,intermediate_question_different
5290,"During the month of March, did the sirens sound in the region as a result of Palestinian rocket attacks on Israel?",When did Palestinian rocket attacks on Israel occur in the month of March,time interval,When Palestinian rocket attacks on Israel took place during the month of March,time interval,intermediate_question_different
5291,"During Greysia Polii's badminton career, which international sport governing body sanctioned the tournaments she participated in?",When was Greysia Polii's badminton career,time interval,When Greysia Polii participated in international badminton tournaments,time interval,intermediate_question_different
5292,"During Zimbabwe Rhodesia's time, what person was given the responsibility to draw up a constitution for the country, hold elections, and arrange a ceasefire with the Patriotic Front?",When was Zimbabwe Rhodesia's time,time interval,"When Zimbabwe Rhodesia was given responsibility to draw up a constitution, hold elections, and arrange a ceasefire with the Patriotic Front",time interval,intermediate_question_different
5293,For which award did Maxim Kontsevich receive the Shaw Prize in Mathematical Sciences while he was a citizen of France?,When was Maxim Kontsevich a citizen of France,time interval,When Maxim Kontsevich was a citizen of France,time interval,intermediate_question_different
5294,"After Armidale Dumaresq Shire, which New South Wales local government area did Armidale become the capital of?",When was Armidale Dumaresq Shire,time interval,When Armidale Dumaresq Shire became part of Armidale,date,intermediate_question_and_answer_type_different
5295,What prompted the establishment of the South Sulawesi Province in Indonesia when 47 of the region endorsed it?,When did 47 of the region endorse the establishment of the South Sulawesi Province in Indonesia,date,When 47 of the region endorsed the establishment of the South Sulawesi Province in Indonesia,date,intermediate_question_different
5296,"During the release of the film The Great Ziegfeld, what other Ziegfeld musical was Universal Studios filming and releasing at the same time?",When was the film The Great Ziegfeld released,date,When The Great Ziegfeld was released,date,intermediate_question_different
5297,"After Ants Piip was appointed Head of State, what position did he hold as the diplomatic representative of the Republic of Estonia in Great Britain?",When was Ants Piip appointed Head of State,date,When Ants Piip was appointed Head of State,date,intermediate_question_different
5298,"Prior to its disestablishment, who led the Rwandese Republic République Rwandaise (French)?",When was the Rwandese Republic République Rwandaise (French) disestablished,date,When the Rwandese Republic République Rwandaise (French) disestablished,date,intermediate_question_different
5299,What was Kumar Sangakkara's domestic cricket team when he last played in a Test match against India?,When did Kumar Sangakkara last play in a Test match against India,date,When Kumar Sangakkara last played in a Test match against India,date,intermediate_question_different
5300,"During the re-election of Al Gore's father, who was his wife Tipper Aitcheson married to?",When was Al Gore's father re-elected,date,When Al Gore's father was re-elected,date,intermediate_question_different
5301,Who was Paul Simon married to during his first marriage to Paul Simon Simon?,When was Paul Simon's first marriage to Paul Simon Simon,time interval,When Paul Simon was married to the first time in his marriage to Paul Simon Simon,time interval,intermediate_question_different
5302,"After playing seven senior matches for Vitória, with whom did Juan Maldonado Jaimez continue his senior football career?",When did Juan Maldonado Jaimez play seven senior matches for Vitória,time interval,When Juan Maldonado Jaimez played his last senior match for Vitória,time interval,intermediate_question_different
5304,What country was Zürich part of before it became part of the First French Empire?,When Zürich became part of the First French Empire,date,When Zurich became part of the First French Empire,date,intermediate_question_different
5305,Who is credited with the discovery or invention of titanium during its time of discovery or invention?,When titanium was discovered or invented,date,When titanium was discovered/invented,time interval,intermediate_question_and_answer_type_different
5309,What country existed in the Lucknow region before the Mughal Empire?,When the Mughal Empire existed in the Lucknow region,time interval,When the Mughal Empire existed in the Lucknow region,date,answer_type_different
